0	Qual a maior característica da flora brasileira?
1	Qual a maior característica da fauna brasileira?
2	Por que os países Guiana e Suriname não são filiados a Conmebol?
3	Por que a Bolívia tem duas capitais?
4	Qual o que significa decolonialidade?
5	O que é sistema Swift? 
6	Por que a seleção uruguaia ostenta 4 estrelas em seu escudo?
7	Qual a importância da Semana de Arte Moderna de 1922?
8	Por que Johann Sebastian Bach é considerado um revolucionário na história da música?
9	quais países europeus seguem o regime monarquista?
10	como é definido o pib de um país?
11	quais os critérios de definição dos monumentos intitulados maravilhas do mundo moderno?
12	por que paises escandinavos possuem bandeiras tão semelhantes?
13	Como o Brasil reagiu a epidemia de AIDS no fim do século XX?
14	Quais os riscos do uso de cigarros eletrônicos?
15	Qual a maior torcida de futebol do Brasil?
16	Qual foi a última grande seca no Nordeste brasileiro?
17	Quando se realizou o plebiscito popular para definir o sistema político do Brasil?
18	Como idealizar uma nova constituição que seja mais realista que a nossa?
19	O que é uma constituição?
20	Por que a legislação de um país é tão importante?
21	Qual o nosso atual sistema de governo?
22	Qual o sistema de governo da África do Sul?
23	Em quantos estados a África do Sul é dividida?
24	Por que dividir um país em estados?
25	Quais as principais cidades exportadoras do café brasileiro?
26	Como podemos classificar o relevo brasileiro?
27	O que é PIB?
28	Existem vantagens ao definir uma moeda única?
29	Quais os impactos que as moedas digitais estão causando para a Economia?
30	Por que criar uma nova moeda?
31	Como vencer os altos índices de inflação?
32	Como se tornar um país melhor, autosuficiente e reduzir os impostos?
33	Qual a importância dos povos originários para uma população que não reconhece o valor dos fatos históricos?
34	Quais as principais culturas que influenciaram os principais movimentos sociais brasileiros?
35	Quais os principais movimentos culturais do século?
36	Como a cultura por influenciar o pensamento de uma geração?
37	Como fazer um risoto de camarão?
38	Que receitas eu posso fazer com 5 ingredientes?
39	Quais as principais formas de fazer cuscuz
40	Quantas bolinhas de tênis são utilizadas numa partida de tênis numa competição internacional?
41	Quais esportistas brasileiros marcaram as décadas de 80 e 90?
42	Quais os benefícios do lazer para a saúde mental?
43	Quais os impactos da redução dos afazeres para aumentar o tempo de lazer?
44	Quais cidades paulistanas são as mais procuradas no período de outono?
45	Quantas pessoas em média visitam os aeropórtos brasileiros para fazerem viagens internacionais?
46	Quais os principais pontos turísticos do Rio de Janeiro?
47	Como transformar uma cidade pacata em um polo turístico?
48	Quais são os parques nacionais do Brasil?
49	Quais são os melhores parques nacionais de Portugal?
50	Qual a altura da cachoeira da fumaça na chapada diamantina?
51	Qual a melhor cidade para ficar no Jalapão?
52	Em qual época visitar o Amazonas?
53	Quais os roteiros de viagem para os períodos de férias escolares?
54	Quais são os biomas do Brasil?
55	Como foi a ocupação do centro oeste brasileiro?
56	Por quais estados se espalha a serra da mantiqueira?
57	Qual a importância do relevo para a ocupação da cidade do Rio de Janeiro?
58	O que foi a operação Lava Jato?
59	Quais os principais partidos políticos na redemocratização do brasil?
60	Quando foi criada a consolidação das leis trabalhistas no brasil?
61	Brasileiros conseguem trabalhar em Portugal?
62	Quais partidos já ocuparam o cargo da presidência do Brasil?
63	Custo de vida nos centros urbanos
64	Por que os anos de 80 são considerados a década perdida no Brasil
65	O que foi o Plano Real?
66	Impactos da geração de energia eólica no nordeste brasileiro
67	O que é comemorado nas festas juninas?
68	Quais são os principais intérpretes da música brasileira?
69	Quando é comemorada a Festa do Divino?
70	Quais são os principais feriados em Portugal?
71	Qual a origem do festival de Parintins?
72	Quais os modos de preparo do camarão?
73	Qual a principal influência na culinária da região nordeste do brasil?
74	Consumo de leite e derivados está caindo?
75	Carne de capivara é saborosa?
76	Quais os principais pratos da culinária cearense?
77	Quanto custa para manter uma mountain bike?
78	Qual a principal atividade de lazer dos brasileiros?
79	Quando começou a Virada Cultural em São Paulo?
80	O que fazer no final de semana em Vila Velha?
81	Em quais modalidades paraolímpicas o brasil tem melhor desempenho?
82	Quais os principais eventos esportivos no brasil?
83	Quantas vezes o voleibol feminino venceu o grand prix?
84	Qual é a principal cidade do basquete brasileiro?
85	Quais são as características de uma chapada?
86	Qual o relevo predominante do Brasil?
87	Quais as bacias hidrográficas mais importantes do Brasil?
88	O que foram as manifestações de 2013 no Brasil?
89	Processos de impeachment no Brasil
90	Processo de industrialização do Brasil
91	Quais são as regiões economicamente importantes no Brasil?
92	Roteiros para casais no sul do Brasil
93	Melhores praias do litoral potiguar
94	Quais são as cidades do Caminho da Fé?
95	É possível conhecer o Pico da Bandeira com crianças?
96	Esportes aquáticos no lago Paranoá
97	Quais os principais times do campeonato estadual Paranaense?
98	Qual o critério para classificação para a Copa do Brasil?
99	Quais são as principais religiões do Brasil?
